Latitude,Longitude,island,name,address,zipcode,type,units,year_open,hawaiistgrdsownerhotelsarea
621936.102,2353042.217,Oahu,Espacio The Jewel of Waikiki,2452 Kalakaua Avenue,96815,HOTEL,9,2019,Honolulu
464994.7275,2434026.637,Kauai,Wyndham Kauai Beach Villas,4330 Kauai Beach Drive,96766,TIMESHARE,105,1979,Kapaa
816111.0655,2172740.14,Hawaii,Wyndham Kona Hawaiian Village,75-5961 Alii Drive,96740,TIMESHARE,158,2001,Kailua-Kona
450071.2676,2456996.822,Kauai,Makai Club & Makai Club Cottages,4180 Lei O Papa Road,96722,TIMESHARE,57,1978,Princeville
816312.9892,2172176.208,Hawaii,Wyndham Royal Sea Cliff,75-6040 Alii Drive,96740,TIMESHARE,76,1982,Kailua Kona
451124.2057,2458009.943,Kauai,Wyndham Shearwater,3730 Kamehameha Road,96722,TIMESHARE,32,1995,Princeville
450398.6602,2458005.402,Kauai,The Cliffs at Princeville,3811 Edwards Road,96722,TIMESHARE,10,1979,Princeville
450794.9062,2419824.887,Kauai,Lawai Beach Resort,5017 Lawai Road,96756,TIMESHARE,175,1981,Koloa
620491.8234,2354134.942,Oahu,Ilikai Apartments,1777 Ala Moana Boulevard,96815,INDIVIDUAL VACATION UNIT,995,1964,Honolulu
465155.451,2436731.083,Kauai,Kaha Lani Resort,4460 Nehe Road,96766,INDIVIDUAL VACATION UNIT,67,1977,Lihue
764767.6687,2297335.78,Maui,Leinaala,998 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,15,1975,Kihei
764742.6092,2297472.239,Maui,Luana Kai,940 South Kihei Road,96753,INDIVIDUAL VACATION UNIT,101,1979,Kihei
725548.3166,2330578.045,Molokai,Molokai Shores,"Kamehameha Highway, Star Route",96748,INDIVIDUAL VACATION UNIT,82,1977,Kaunakakai
742648.3196,2323661.541,Maui,Napili Kai Beach Resort,5900 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,163,1962,Lahaina
766759.5201,2290888.551,Maui,Palms at Wailea,3200 Wailea Alanui Drive,96753,CONDOMINIUM HOTEL,146,1991,Kihei
466227.5435,2438985.582,Kauai,Plantation Hale,525 Aleka Loop,96746,INDIVIDUAL VACATION UNIT,135,1973,Kapaa
740882.536,2319665.914,Maui,Kuleana Resort,3959 Lower Honoapiilani Road,96761,TIMESHARE,106,1973,Lahaina
740882.536,2319665.914,Maui,Kuleana Resort,3959 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,106,1973,Lahaina
740882.536,2319665.914,Maui,Kuleana Resort,3959 Lower Honoapiilani Road,96761,INDIVIDUAL VACATION UNIT,106,1973,Lahaina
465908.9952,2438795.853,Kauai,17 Palms Kauai,414 Wailua Kai Street,96746,INDIVIDUAL VACATION UNIT,2,2003,Kapaa
767275.7214,2289445.036,Maui,Wailea Ekolu Village,10 Wailea Ekolu Place,96753,INDIVIDUAL VACATION UNIT,100,1979,Wailea
766598.4266,2289949.954,Maui,Wailea Elua,3600 Wailea Alanui Drive,96753,CONDOMINIUM HOTEL,114,1978,Wailea
766589.8728,2288667.529,Maui,Wailea Point Village,4000 Wailea Alanui Drive,96753,INDIVIDUAL VACATION UNIT,12,1987,Wailea
451490.7345,2419641.623,Kauai,Whaler's Cove at Poipu,2640 Puuholo Road,96756,CONDOMINIUM HOTEL,31,1993,Koloa
767710.1659,2291220.945,Maui,Hale Manu Mele,3230 Kehala Dr 5k,96753,BED & BREAKFAST,2,,Kihei
813081.9068,2292835.471,Maui,Hana Aloha Hale,6820 Hana Hy,96713,BED & BREAKFAST,2,1997,Hana
463506.6921,2428896.14,Kauai,Marriott's Kauai Beach Club,3610 Rice Street,96766,TIMESHARE,232,1987,Lihue
463506.6921,2428896.14,Kauai,Kauai Marriott Resort,3610 Rice Street,96766,HOTEL,356,1987,Lihue
464531.7177,2428689.19,Kauai,Marriott's Kauai Lagoons Kalanipu‘u,3325 Holokawelu Way,96766,TIMESHARE,75,2010,Lihue
591285.6842,2359135.529,Oahu,Marriott's Ko Olina Beach Club,92-161 Waipahe Place,96707,TIMESHARE,560,2003,Kapolei
