Date,City,Shape
5/16/14,Honolulu,Unknown
5/20/14,Honokaa,Light
5/20/14,Lahaina,Unknown
5/20/14,Mililani,Light
5/20/14,Waianae,Formation
5/20/14,Lahaiiina,Light
5/20/14,Maui,Light
5/20/14,Wailea,Other
5/20/14,Wailuku,Fireball
5/29/14,Honolulu,Cone
5/30/14,Kihei,Light
6/12/14,Honolulu,Disk
6/24/14,Lahaina,Light
7/28/14,Makaha,Disk
7/30/14,Kaneoeh,Other
8/5/14,Aiea,Light
8/6/14,Waianae,Light
8/13/14,Wailua,Light
8/17/14,Kehei,Light
8/17/14,Wahiawa,Light
8/18/14,Waialua,Light
8/27/14,Kahuku,Light
8/28/14,Opihikao,Light
8/31/14,Kapolei,Light
9/1/14,Kihei,Light
9/2/14,Kapaa,Unknown
9/11/14,Hana,Circle
9/17/14,Kailua,Circle
9/23/14,Hawaii Kai (Honolulu),Other
9/23/14,Haleakala National Park,
9/23/14,Haleakala National Park,Sphere
9/23/14,Wailuku,Changing
9/24/14,Kapaa,Light
9/27/14,Pukalani,Circle
10/5/14,Honolulu,Light
10/12/14,Haleakala / Kahului,Light
10/27/14,Kapahi,Unknown
10/30/14,Hakalau,Light
10/31/14,Honolulu,Triangle
11/7/14,Honolulu,Light
11/14/14,Honolulu,Fireball
11/20/14,Honolulu,Light
12/12/14,Kailua (Kona),Circle
12/31/14,Waimanalo,Sphere
12/31/14,Wailuku,Circle
1/1/15,Kailua Kona,Disk
1/1/15,Kaunakakai,Light
1/12/15,Wailua,Light
1/17/15,Kihei,Fireball
1/23/15,Ocean View,Sphere
1/31/15,Waimea,Light
3/8/15,Wahiawa,Flash
3/17/15,Hilo,Unknown
3/22/15,Keaau,Rectangle
6/11/15,Molokai (above),Formation
7/11/15,Oahu,Light
7/29/15,Honolulu,Other
8/18/15,Hilo,Unknown
8/30/15,Ocean View,Fireball
8/30/15,Hilo,Teardrop
9/9/15,Schofield Barracks,Fireball
9/30/15,Honolulu,Light
10/9/15,Kailua,Triangle
10/10/15,Koloa,Unknown
10/15/15,Keaau,
10/16/15,Lanai,Light
10/22/15,Honolulu,Unknown
10/23/15,Aiea,Triangle
10/27/15,Honolulu,Formation
11/7/15,Honolulu,Light
11/7/15,Manoa Hills,Light
11/14/15,Kaunakakai,Other
1/4/16,North Shore,Light
1/7/16,Honolulu,Light
1/23/16,Honolulu,
1/27/16,Keaau,Circle
1/30/16,Naalehu,Sphere
2/13/16,Wheeler AAF,Light
3/4/16,Kalaheo,Rectangle
3/5/16,Kailua,Light
4/25/16,Kapaa,Light
6/30/16,Kihei,Circle
7/2/16,Kawaihae,Light
7/3/16,Honolulu,Light
7/10/16,Kihei,Triangle
7/30/16,Haleiwa,Circle
8/9/16,Pearl City,Triangle
8/12/16,Kaimuki,Light
8/12/16,Kaunakakai,Formation
9/14/16,Kapaa,Unknown
9/17/16,Lahaina,Light
9/30/16,Honolulu,Rectangle
10/23/16,Honolulu,Light
11/21/16,Honolulu,Other
11/27/16,Maui (in-flight; off coast of),
12/7/16,Napili,Fireball
12/10/16,Lahaina,Rectangle
12/17/16,Waipio,Circle
12/17/16,Kahana,Fireball
12/18/16,Honolulu,Light
12/27/16,Waianae,Sphere
2/2/17,Kailua,Light
2/12/17,Mokuliea,Changing
2/19/17,Waimea Canyon,Unknown
4/11/17,Hana,Light
4/16/17,Honolulu,Circle
4/29/17,Kealakekua,Light
7/31/17,Kapaa,Other
8/7/17,Kapaa,Sphere
9/6/17,Nanakuli,Light
9/14/17,Pearl Harbor,Light
10/9/17,Waianae,Other
10/18/17,Keaau,Circle
11/13/17,Hilo,
12/15/17,Waikoloa,Cigar
12/16/17,Hana,Fireball
12/29/17,Waimea,Changing
3/17/18,Honolulu,Other
5/15/18,Kahului,Egg
5/24/18,Kea’au,Triangle
8/12/18,Mokuleia,Triangle
9/3/18,Honolulu,Unknown
9/23/18,Kapa'a,Disk
10/7/18,Lahania,Circle
10/18/18,Makawao,Light
12/14/18,Makawao,Light
12/16/18,Lihue,Cigar
12/18/18,Kehei,Circle
12/31/18,Mt. View,Circle
1/7/19,Honolulu,Light
1/7/19,Honolulu,Light
1/11/19,Kailua Oahu,Triangle
1/18/19,Wailea,Light
1/26/19,Haiku (Maui),Light
2/26/19,Kula,Light
3/18/19,Mililani,Light
3/24/19,Lihue,Disk
4/28/19,Kahului,Circle
5/2/19,Honolulu,Rectangle
5/19/19,Hauula,Light
5/20/19,Ewa Beach,Unknown
5/24/19,Kahului,Unknown
5/30/19,Waikiki,Oval
5/30/19,Waianae,Sphere
5/30/19,Waianae,Sphere
5/31/19,Kailua,Triangle
6/8/19,Ka’anapali,Disk
7/3/19,Honululu,Triangle
7/4/19,Honolulu,Fireball
7/6/19,Hawaii Kai,Triangle
7/20/19,Wailea,Oval
7/25/19,Keaau,Flash
7/28/19,Waianae,Light
8/9/19,Kapalua,Triangle
8/9/19,Anahola,Flash
8/15/19,Honolulu,Oval
8/18/19,Kahului,Cigar
9/7/19,Kona,Light
9/9/19,Honolulu,Sphere
9/16/19,Kapalua/Molokai,Formation
9/21/19,Captain Cook,Flash
9/21/19,Hau’ula,Light
9/26/19,Waikiki (Oahu),Triangle
9/28/19,Lahaina (Maui),Light
10/19/19,Kula,Unknown
10/23/19,Haiku (Maui),Light
11/12/19,Waiehu,Formation
11/12/19,Kahuku,Light
11/12/19,Kona,Other
11/12/19,Kapaau,Light
11/12/19,Lahaina,Unknown
11/13/19,Haliewa,Other
11/24/19,Kapolei (Honolulu),Light
11/25/19,Haiku,Light
12/7/19,Waianae,Flash
12/15/19,Honolulu,Unknown
12/31/19,Waianae,Circle
12/31/19,Captain Cook,Other
1/1/20,Honolulu - Waikiki,Light
1/7/20,Wahiawa,Cigar
1/7/20,Wahiawa,Formation
1/21/20,Pukalani,Oval
1/23/20,Waimanalo,Triangle
1/28/20,Honolulu,Changing
2/4/20,Waialua Molokai,Formation
2/5/20,Kailua,Formation
2/5/20,Wailuku,Light
2/5/20,Honolulu,Light
2/16/20,Mokuleia,Cross
2/17/20,"Wailea, Maui",Formation
2/17/20,Kailua-Kona,Disk
2/18/20,Kailua Kona,Other
2/23/20,Honolulu,Light
3/14/20,Kihei,Circle
4/4/20,Kihei,Sphere
4/6/20,Holualoa,Light
4/13/20,Laie,Disk
4/19/20,Ocean View,Light
4/29/20,Ewa Beach,Light
4/30/20,Honolulu,Unknown
5/22/20,Haleiwa,Triangle
5/27/20,Waikapu,Circle
5/28/20,Honolulu,Circle
6/3/20,Honolulu,Formation
6/8/20,Lahaina,Disk
6/22/20,Mililani (Oahu/Honolulu),Sphere
6/27/20,Hawaii,Unknown
7/3/20,Honolulu,Circle
7/27/20,Honolulu,Rectangle
7/31/20,Honolulu,Chevron
8/11/20,Kailua,Circle
8/19/20,Lihue,Circle
8/31/20,Lahaina,Light
10/2/20,Mililani,Disk
10/24/20,Mokuleia,Other
10/24/20,Kula,Formation
10/24/20,Honoluu,Rectangle
10/24/20,Kona,Cigar
10/24/20,Honolulu,Formation
10/24/20,Kahuku,Triangle
10/24/20,Waikiki,Triangle
11/2/20,Kanapali Beach/ Maui,Unknown
11/2/20,Kihei,Diamond
12/15/20,honolulu,Flash
1/15/21,Kilauea,Light
3/2/21,Kapolei,Light
4/16/21,Kaneohe,Unknown
4/16/21,Kaneohe,Unknown
5/9/21,Kailua,Unknown
